o2used,comrte,tothired,totmembers,camps,year,success,ratio_hired,season_Spring,season_Summer,season_Winter,peakid_Autre,peakid_BARU,peakid_CHOY,peakid_DHA1,peakid_EVER,peakid_LHOT,peakid_MAKA,peakid_MANA
0,0,2,9,4,1988,0,0.2222222222222222,1,0,0,0,0,0,0,0,0,1,0
0,0,1,9,4,1988,0,0.1111111111111111,1,0,0,0,0,0,0,0,0,1,0
0,0,2,5,4,1988,1,0.4,1,0,0,1,0,0,0,0,0,0,0
0,0,2,4,4,1988,0,0.5,1,0,0,1,0,0,0,0,0,0,0
1,0,9,23,6,1988,0,0.391304347826087,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,1988,0,0.0,1,0,0,0,0,0,0,0,0,1,0
0,1,2,4,1,1988,0,0.5,1,0,0,0,0,0,0,0,0,0,0
0,1,0,6,3,1988,0,0.0,1,0,0,0,0,0,0,0,0,0,0
0,0,5,6,4,1988,0,0.8333333333333334,1,0,0,0,1,0,0,0,0,0,0
1,0,4,10,3,1988,0,0.4,1,0,0,0,1,0,0,0,0,0,0
0,0,2,6,3,1988,0,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0
0,0,0,6,0,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,5,4,1988,0,0.2,1,0,0,1,0,0,0,0,0,0,0
0,1,6,5,4,1988,0,1.2,1,0,0,0,0,1,0,0,0,0,0
0,1,0,2,6,1988,0,0.0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,4,3,1988,1,0.0,1,0,0,0,0,1,0,0,0,0,0
0,1,1,6,6,1988,1,0.16666666666666666,1,0,0,0,0,1,0,0,0,0,0
0,1,4,8,3,1988,1,0.5,1,0,0,0,0,1,0,0,0,0,0
0,1,0,27,0,1988,1,0.0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,3,0,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,3,1988,1,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,4,7,2,1988,1,0.5714285714285714,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,3,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,4,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,4,7,4,1988,1,0.5714285714285714,1,0,0,1,0,0,0,0,0,0,0
0,0,0,5,0,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,0,2,7,6,1988,1,0.2857142857142857,1,0,0,1,0,0,0,0,0,0,0
0,0,0,4,2,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,2,0,1988,0,0.0,1,0,0,0,0,0,0,0,0,0,1
0,1,1,8,4,1988,0,0.125,1,0,0,0,0,0,0,0,0,0,1
0,0,0,7,2,1988,1,0.0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,9,3,1988,0,0.1111111111111111,1,0,0,1,0,0,0,0,0,0,0
1,0,0,5,0,1988,0,0.0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,3,2,1988,1,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0
0,1,9,16,2,1988,1,0.5625,0,0,1,0,0,0,0,0,0,0,0
0,0,2,8,2,1988,0,0.25,0,0,1,1,0,0,0,0,0,0,0
0,0,1,2,0,1988,0,0.5,0,0,1,0,0,1,0,0,0,0,0
